State,Regular,Mid-Grade,Premium,Diesel
Alaska,4.32,4.45,4.64,5.17
Alabama,3.11,3.5,3.88,4.87
Arkansas,3.02,3.37,3.71,4.69
Arizona,4.06,4.37,4.64,5.12
California,5,5.22,5.36,6.05
Colorado,3.25,3.59,3.89,4.87
Connecticut,3.64,4.2,4.61,5.92
District of Columbia,3.71,4.26,4.66,5.37
Delaware,3.55,4.02,4.34,5.71
Florida,3.37,3.77,4.08,5.05
Georgia,3.03,3.42,3.79,4.9
Hawaii,5.2,5.44,5.68,6.06
Iowa,3.24,3.51,3.97,4.88
Idaho,4.09,4.31,4.54,5.79
Illinois,3.8,4.26,4.68,5.17
Indiana,3.61,4.09,4.5,5.51
Kansas,3.13,3.4,3.71,4.66
Kentucky,3.23,3.67,4.05,5.14
Louisiana,3.05,3.45,3.79,4.65
Massachusetts,3.75,4.31,4.64,5.79
Maryland,3.54,4.06,4.35,5.69
Maine,3.81,4.2,4.57,5.92
Michigan,3.6,4.12,4.58,5.42
Minnesota,3.32,3.65,4.02,4.98
Missouri,3.09,3.37,3.7,4.79
Mississippi,3.02,3.41,3.76,4.72
Montana,3.61,3.88,4.16,5.23
North Carolina,3.23,3.6,3.95,5.13
North Dakota,3.33,3.61,3.97,4.99
Nebraska,3.32,3.53,4.02,4.8
New Hampshire,3.65,4.15,4.52,5.73
New Jersey,3.71,4.31,4.58,5.74
New Mexico,3.3,3.6,3.9,4.8
Nevada,4.67,4.91,5.13,5.45
New York,3.78,4.26,4.61,5.85
Ohio,3.41,3.84,4.24,5.77
Oklahoma,3.02,3.41,3.6,4.54
Oregon,4.42,4.67,4.86,5.46
Pennsylvania,3.96,4.34,4.6,6
Rhode Island,3.7,4.31,4.63,5.81
South Carolina,3.12,3.5,3.84,4.95
South Dakota,3.41,3.58,4.1,4.88
Tennessee,3.09,3.47,3.83,4.99
Texas,2.87,3.24,3.58,4.46
Utah,3.9,4.12,4.31,5.73
Virginia,3.35,3.77,4.09,5.3
Vermont,3.86,4.39,4.8,5.98
Washington,4.49,4.74,4.93,5.65
Wisconsin,3.15,3.56,4.01,4.86
West Virginia,3.48,3.76,4.03,5.63
Wyoming,3.42,3.67,3.92,5.3
