Year,Viewership,Event
1967,51.18M,Super Bowl
1968,39.12M,Super Bowl
1969,41.66M,Super Bowl
1970,44.27M,Super Bowl
1971,46.04M,Super Bowl
1972,56.64M,Super Bowl
1973,53.32M,Super Bowl
1974,51.70M,Super Bowl
1975,56.05M,Super Bowl
1976,57.71M,Super Bowl
1977,62.05M,Super Bowl
1978,78.94M,Super Bowl
1979,74.74M,Super Bowl
1980,76.24M,Super Bowl
1981,68.29M,Super Bowl
1982,85.24M,Super Bowl
1983,81.77M,Super Bowl
1984,77.62M,Super Bowl
1985,85.53M,Super Bowl
1986,92.57M,Super Bowl
1987,87.19M,Super Bowl
1988,80.14M,Super Bowl
1989,81.59M,Super Bowl
1990,73.85M,Super Bowl
1991,79.51M,Super Bowl
1992,79.59M,Super Bowl
1993,90.99M,Super Bowl
1994,90.00M,Super Bowl
1995,83.42M,Super Bowl
1996,94.08M,Super Bowl
1997,87.87M,Super Bowl
1998,90.00M,Super Bowl
1999,83.72M,Super Bowl
2000,88.47M,Super Bowl
2001,84.34M,Super Bowl
2002,86.80M,Super Bowl
2003,88.64M,Super Bowl
2004,89.80M,Super Bowl
2005,86.07M,Super Bowl
2006,90.75M,Super Bowl
2007,93.18M,Super Bowl
2008,97.45M,Super Bowl
2009,98.73M,Super Bowl
2010,106.48M,Super Bowl
2011,111.01M,Super Bowl
2012,111.35M,Super Bowl
2013,108.69M,Super Bowl
2014,112.19M,Super Bowl
2015,114.44M,Super Bowl
2016,111.86M,Super Bowl
2017,111.32M,Super Bowl
2018,103.39M,Super Bowl
2019,98.19M,Super Bowl
2020,100.45M,Super Bowl
2021,95.20M,Super Bowl
2022,99.18M,Super Bowl
1973,34.75M,World Series
1974,29.08M,World Series
1975,35.96M,World Series
1976,34.72M,World Series
1977,37.15M,World Series
1978,44.279M,World Series
1979,37.960M,World Series
1980,42.3M,World Series
1981,41.370M,World Series
1982,38.070M,World Series
1983,29.54M,World Series
1984,28.01M,World Series
1985,34.51M,World Series
1986,36.37M,World Series
1987,35.34M,World Series
1988,34.49M,World Series
1989,24.55M,World Series
1990,30.24M,World Series
1991,35.68M,World Series
1992,30.01M,World Series
1993,24.7M,World Series
1994,0.00M,World Series
1995,28.97M,World Series
1996,25.22M,World Series
1997,24.79M,World Series
1998,20.34M,World Series
1999,23.731M,World Series
2000,18.081M,World Series
2001,24.528M,World Series
2002,19.261M,World Series
2003,20.143M,World Series
2004,25.390M,World Series
2005,17.162M,World Series
2006,15.812M,World Series
2007,17.123M,World Series
2008,13.193M,World Series
2009,19.334M,World Series
2010,14.217M,World Series
2011,16.521M,World Series
2012,12.636M,World Series
2013,14.984M,World Series
2014,13.930M,World Series
2015,14.533M,World Series
2016,22.847M,World Series
2017,18.926M,World Series
2018,14.125M,World Series
2019,13.912M,World Series
2020,9.785M,World Series
2021,11.744M,World Series
2022,11.762M,World Series
1986,14.43M,NBA Finals
1987,24.12M,NBA Finals
1988,21.70M,NBA Finals
1989,21.26M,NBA Finals
1990,17.19M,NBA Finals
1991,23.91M,NBA Finals
1992,20.84M,NBA Finals
1993,27.21M,NBA Finals
1994,17.25M,NBA Finals
1995,20.08M,NBA Finals
1996,24.86M,NBA Finals
1997,25.59M,NBA Finals
1998,29.04M,NBA Finals
1999,16.01M,NBA Finals
2000,17.40M,NBA Finals
2001,19.00M,NBA Finals
2002,15.68M,NBA Finals
2003,9.86M,NBA Finals
2004,17.94M,NBA Finals
2005,12.54M,NBA Finals
2006,12.97M,NBA Finals
2007,9.29M,NBA Finals
2008,14.94M,NBA Finals
2009,14.35M,NBA Finals
2010,18.14M,NBA Finals
2011,17.39M,NBA Finals
2012,16.88M,NBA Finals
2013,17.47M,NBA Finals
2014,15.54M,NBA Finals
2015,19.94M,NBA Finals
2016,20.28M,NBA Finals
2017,20.38M,NBA Finals
2018,17.56M,NBA Finals
2019,15.14M,NBA Finals
2020,7.45M,NBA Finals
2021,9.91M,NBA Finals
2022,12.40M,NBA Finals
1998,26.112M,CFB National Championship Game
1999,26.962M,CFB National Championship Game
2000,27.240M,CFB National Championship Game
2001,21.559M,CFB National Championship Game
2002,29.104M,CFB National Championship Game
2003,23.937M,CFB National Championship Game
2004,21.419M,CFB National Championship Game
2005,35.630M,CFB National Championship Game
2006,28.795M,CFB National Championship Game
2007,23.069M,CFB National Championship Game
2008,26.767M,CFB National Championship Game
2009,30.776M,CFB National Championship Game
2010,27.316M,CFB National Championship Game
2011,24.214M,CFB National Championship Game
2012,26.380M,CFB National Championship Game
2013,26.205M,CFB National Championship Game
2014,34.148M,CFB National Championship Game
2015,26.182M,CFB National Championship Game
2016,25.266M,CFB National Championship Game
2017,28.443M,CFB National Championship Game
2018,25.280M,CFB National Championship Game
2019,25.588M,CFB National Championship Game
2020,18.653M,CFB National Championship Game
2021,22.563M,CFB National Championship Game
2022,17.223M,CFB National Championship Game
